1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
0.001452	0.001440	0.001407	0.001374	0.001311	0.001197	0.001094	0.001021	0.000969	0.000917	0.000845	0.000773	0.000762	0.000772	0.000792	0.000771	0.000750	0.000720	0.000669	0.000597	0.000567
0.001485	0.001504	0.001512	0.001489	0.001436	0.001312	0.001157	0.001053	0.000980	0.000928	0.000856	0.000774	0.000752	0.000752	0.000782	0.000751	0.000751	0.000741	0.000689	0.000628	0.000587
0.001518	0.001548	0.001566	0.001564	0.001520	0.001395	0.001240	0.001116	0.001022	0.000939	0.000847	0.000784	0.000743	0.000763	0.000783	0.000762	0.000762	0.000741	0.000710	0.000649	0.000598
0.001510	0.001561	0.001610	0.001618	0.001615	0.001469	0.001313	0.001168	0.001054	0.000981	0.000888	0.000816	0.000764	0.000763	0.000784	0.000753	0.000742	0.000721	0.000721	0.000670	0.000638
0.001502	0.001532	0.001581	0.001620	0.001659	0.001523	0.001356	0.001180	0.001065	0.001003	0.000930	0.000847	0.000795	0.000774	0.000794	0.000763	0.000753	0.000732	0.000742	0.000711	0.000679
0.001494	0.001514	0.001553	0.001612	0.001683	0.001577	0.001389	0.001181	0.001097	0.001055	0.000992	0.000899	0.000836	0.000816	0.000826	0.000794	0.000784	0.000763	0.000752	0.000731	0.000721
0.001496	0.001485	0.001524	0.001584	0.001665	0.001590	0.001412	0.001234	0.001129	0.001097	0.001024	0.000940	0.000878	0.000857	0.000867	0.000846	0.000825	0.000804	0.000794	0.000752	0.000741
0.001488	0.001497	0.001537	0.001597	0.001667	0.001603	0.001434	0.001266	0.001192	0.001150	0.001076	0.001003	0.000940	0.000919	0.000919	0.000898	0.000877	0.000846	0.000815	0.000783	0.000772
0.001522	0.001510	0.001560	0.001620	0.001660	0.001595	0.001467	0.001340	0.001276	0.001202	0.001118	0.001065	0.001023	0.001012	0.000991	0.000960	0.000939	0.000908	0.000856	0.000815	0.000804
0.001608	0.001565	0.001604	0.001665	0.001704	0.001618	0.001511	0.001404	0.001350	0.001276	0.001191	0.001128	0.001106	0.001105	0.001064	0.001022	0.000991	0.000960	0.000928	0.000876	0.000865
0.001704	0.001598	0.001638	0.001699	0.001749	0.001673	0.001586	0.001499	0.001434	0.001360	0.001286	0.001232	0.001199	0.001188	0.001168	0.001115	0.001094	0.001053	0.001011	0.000969	0.000927
0.001843	0.001748	0.001735	0.001754	0.001762	0.001717	0.001651	0.001584	0.001509	0.001455	0.001380	0.001326	0.001293	0.001272	0.001261	0.001229	0.001187	0.001156	0.001104	0.001062	0.001040
0.002036	0.001929	0.001916	0.001861	0.001807	0.001772	0.001737	0.001701	0.001594	0.001529	0.001454	0.001400	0.001367	0.001335	0.001355	0.001334	0.001312	0.001280	0.001228	0.001176	0.001133
0.002198	0.002164	0.002109	0.002054	0.001947	0.001880	0.001844	0.001839	0.001742	0.001676	0.001580	0.001505	0.001472	0.001440	0.001450	0.001418	0.001406	0.001405	0.001352	0.001300	0.001237
0.002298	0.002348	0.002345	0.002247	0.002139	0.002030	0.001962	0.001957	0.001880	0.001814	0.001707	0.001621	0.001598	0.001555	0.001576	0.001533	0.001521	0.001510	0.001488	0.001414	0.001351
0.002377	0.002480	0.002561	0.002516	0.002397	0.002276	0.002154	0.002107	0.002050	0.001984	0.001886	0.001789	0.001745	0.001702	0.001723	0.001680	0.001657	0.001626	0.001603	0.001570	0.001507
0.002584	0.002561	0.002653	0.002723	0.002666	0.002534	0.002432	0.002342	0.002252	0.002154	0.002077	0.001989	0.001934	0.001871	0.001881	0.001848	0.001836	0.001773	0.001729	0.001686	0.001653
0.002953	0.002790	0.002734	0.002879	0.002874	0.002836	0.002711	0.002620	0.002477	0.002358	0.002258	0.002201	0.002135	0.002071	0.002040	0.001996	0.001984	0.001920	0.001856	0.001823	0.001820
0.003506	0.003192	0.003061	0.002940	0.003074	0.003077	0.003035	0.002932	0.002798	0.002625	0.002535	0.002414	0.002379	0.002294	0.002252	0.002187	0.002174	0.002111	0.002066	0.002012	0.001999
0.003946	0.003695	0.003508	0.003162	0.003211	0.003373	0.003341	0.003247	0.003101	0.002957	0.002740	0.002639	0.002604	0.002559	0.002465	0.002420	0.002356	0.002343	0.002299	0.002254	0.002220
0.004360	0.004116	0.004099	0.003525	0.003446	0.003534	0.003650	0.003501	0.003396	0.003251	0.002979	0.002908	0.002851	0.002764	0.002722	0.002676	0.002601	0.002578	0.002512	0.002529	0.002463
0.004650	0.004587	0.004655	0.004117	0.003886	0.003835	0.003845	0.003875	0.003672	0.003589	0.003262	0.003295	0.003132	0.003034	0.003012	0.002997	0.002858	0.002866	0.002779	0.002796	0.002740
0.005030	0.005052	0.005120	0.004631	0.004494	0.004301	0.004170	0.004104	0.004069	0.003931	0.003611	0.003717	0.003510	0.003359	0.003326	0.003290	0.003212	0.003168	0.003048	0.003033	0.003008
0.005481	0.005503	0.005495	0.005227	0.005045	0.004978	0.004661	0.004518	0.004374	0.004351	0.004006	0.004144	0.003892	0.003771	0.003653	0.003585	0.003527	0.003535	0.003361	0.003325	0.003299
0.006127	0.006016	0.005985	0.005680	0.005746	0.005655	0.005311	0.005131	0.004791	0.004670	0.004652	0.004608	0.004406	0.004219	0.004122	0.003904	0.003920	0.003874	0.003751	0.003715	0.003604
0.006774	0.006461	0.006517	0.006328	0.006305	0.006441	0.005916	0.005851	0.005419	0.005091	0.004984	0.005143	0.004799	0.004738	0.004586	0.004334	0.004306	0.004281	0.004199	0.004130	0.004028
0.007578	0.007159	0.007060	0.006987	0.006742	0.007000	0.006773	0.006464	0.006133	0.005701	0.005440	0.005503	0.005358	0.005156	0.005109	0.004854	0.004858	0.004736	0.004609	0.004528	0.004488
0.008445	0.008107	0.007860	0.007738	0.007410	0.007471	0.007404	0.007364	0.006838	0.006398	0.006034	0.006085	0.005656	0.005807	0.005673	0.005457	0.005374	0.005283	0.005068	0.004996	0.004955
0.009368	0.009067	0.008723	0.008495	0.008115	0.008008	0.008027	0.008039	0.007756	0.007175	0.006900	0.006798	0.006198	0.006188	0.006355	0.005940	0.006006	0.005816	0.005588	0.005482	0.005440
0.010478	0.010190	0.009814	0.009362	0.009052	0.008648	0.008754	0.008764	0.008316	0.008156	0.007630	0.007711	0.007002	0.006706	0.006755	0.006714	0.006628	0.006500	0.006181	0.006181	0.006007
