1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
327342	327777	331824	319140	331280	353097	359663	359391	323196	317237	315307	309768	300295	383478	380915	386785	368473	364442	348238	346604	349358
318177	323723	324340	328488	315957	327813	349718	356353	356064	320286	314290	313309	307815	298352	381510	379019	384767	366425	362039	346017	342449
322312	314117	319916	320619	324896	312463	324165	346073	352712	352667	317126	312158	311234	305891	296202	379358	376888	382456	364017	359286	341414
334986	317828	309956	315828	316595	321145	308725	320283	342149	349141	349075	314704	309574	308940	303625	293971	376936	374442	379740	361235	353911
306320	329734	313259	305651	311392	312257	316964	304789	316212	337992	345180	346092	311857	306886	306134	301119	291495	374327	371588	376766	355592
303503	301153	324294	308345	301121	306888	307796	312730	300794	311982	333831	341848	342625	308841	303994	303431	298554	288934	371320	368605	369814
299140	297796	295731	318561	303253	296355	301981	303010	308164	296627	307692	330454	337999	339087	305445	300828	300390	295797	285898	367984	361813
287871	292822	291702	289998	312544	297800	291123	296713	298080	303479	292249	304462	326661	334204	335166	302082	297764	297279	292626	282622	360586
280037	281223	286238	285431	283943	306182	292176	285665	291318	292968	298634	288231	300816	322846	330080	331043	298621	294502	293953	289454	277423
270694	272941	274188	279249	278807	277632	299589	286014	280018	285833	287700	293990	283727	296707	318415	325514	326690	294631	290641	289972	283460
263226	263103	265655	266967	271928	271792	271074	292442	279655	274094	280060	282896	288859	278898	292158	313550	320539	322134	290159	286401	283553
248290	255431	255363	257966	259382	264284	264421	264114	285049	273185	268032	274538	277432	283341	273737	287406	308388	315402	316840	285468	279694
238211	240364	247474	247336	249973	251398	256327	256394	256989	277736	266601	262041	268505	271776	277333	268367	282229	302848	309653	311213	278487
231277	230003	232218	239160	238906	241595	242953	247864	248339	249778	270074	259863	255352	262231	265431	271300	262627	276733	296812	303475	302394
144873	222335	221438	223605	230446	230254	232952	233926	239183	240286	242316	262439	252366	248545	255161	258928	264725	256527	270739	290275	294084
107701	138867	213147	212606	214781	221359	221262	223742	224940	230596	232144	234616	254284	244772	241150	247881	252075	257929	249634	264356	280800
110243	102682	132565	203735	203333	205539	212073	211727	214254	215784	221842	224154	226185	245975	236700	233693	240348	244723	250425	242427	255205
132366	104772	97574	126183	194087	194118	195945	202201	201941	204994	206814	213846	215243	217838	237041	228532	225548	232423	236753	242555	233270
158849	125204	99025	92325	119665	183976	184349	185879	192032	191876	195467	198190	205108	206468	209012	227892	219608	217103	223884	228444	232349
154594	149525	117696	93235	87101	112997	173561	174102	175753	181795	181998	186447	188933	196632	197068	199952	218254	210286	208087	215094	218060
146952	144662	139878	110073	87484	81659	106151	162694	163783	165655	170680	173073	176580	179702	187340	187613	190719	208253	200245	198774	204368
137398	136620	134257	130164	102410	81383	76192	99068	151957	153503	155269	159799	163365	167233	170167	178103	177698	180581	197486	190151	187806
116176	126762	125911	123912	120197	94825	75277	70349	91906	141121	140837	144707	148064	153024	156705	160340	168096	167018	170155	185841	178530
107234	106108	115743	115350	113783	110327	87217	69100	64708	84964	130274	129670	132824	136188	142092	146464	149932	156964	155861	159162	172836
88544	96981	96102	105047	105152	103604	100435	79423	62890	59346	77975	116898	118527	122481	123884	129522	135523	138997	145799	143990	147512
76074	79308	86856	86377	94650	95018	93703	90747	71622	57106	54113	70854	102978	108560	111197	113018	116636	121764	125200	131923	132176
59710	67114	70082	76862	76986	84620	85038	83351	81048	64170	51285	48646	63590	92692	97953	100142	102175	105125	109522	113100	118685
50491	52054	58386	61187	67573	67962	74669	75090	73502	71635	57215	45451	43051	56913	82739	87984	89837	92450	94821	98871	101998
40845	43474	44684	50306	53017	58729	59311	65026	65440	63978	63155	50190	39583	37869	50169	73411	78150	79492	82851	85152	88524
31765	34556	36747	37879	42795	45270	50390	50731	55778	56626	55646	54589	42916	34448	32715	43662	64284	68484	69607	73809	75161
24417	26419	28903	30620	31650	35967	38119	42474	43062	47297	48565	47430	46075	36768	29383	27990	37596	55383	59153	60392	64486
20140	20090	21590	23883	25232	26092	29679	31479	35345	36180	39835	40430	39105	38688	30705	24945	23559	31705	47382	50266	51701
14703	16110	16079	17342	19453	20279	21127	23998	25615	29272	29981	32632	32713	32244	31577	25476	20650	19467	26191	39948	42186
11211	11637	12661	12544	13744	15691	16074	16650	19198	20510	23761	23939	25784	26410	26022	25790	20511	16645	15797	21321	33199
7835	8710	8971	9632	9718	10647	12182	12400	12931	15007	16104	18668	18447	20354	20674	20581	20325	16174	13079	12521	17262
5628	5876	6583	6797	7281	7380	7980	9222	9499	9794	11495	12328	14138	14322	15640	16096	15979	15669	12507	10173	10255
3962	4081	4316	4972	4998	5416	5431	5835	6771	7131	7389	8493	9060	10839	10756	11892	12189	11889	11839	9508	8045
2677	2827	2943	3084	3545	3680	3951	3844	4200	4925	5203	5366	6027	6706	7812	7915	8796	8896	8802	8813	7529
1621	1903	2024	2048	2155	2571	2689	2856	2726	3023	3495	3772	3710	4334	4668	5686	5642	6197	6334	6353	6713
1024	1139	1292	1382	1370	1472	1715	1919	1976	1877	2137	2432	2555	2610	2914	3341	3905	3883	4365	4402	4841
701	706	749	864	942	868	951	1120	1404	1366	1292	1454	1607	1764	1783	1993	2209	2598	2609	2972	3205
463	471	460	503	572	639	560	587	792	1103	890	923	957	1108	1169	1206	1283	1470	1692	1701	2144
623	668	685	721	675	735	756	774	794	938	995	1267	1453	1762	1947	2213	2163	2253	2295	2329	2453
